D:\Users\MathAngel\anaconda3\python.exe E:\Lab\base-T5-G8\base-ce.py 
training on  cuda
epoch 61, loss 0.0716, train acc 0.983, test_id acc 0.643, test_ood acc 0.364, time 20.5 sec
epoch 62, loss 0.0753, train acc 0.979, test_id acc 0.687, test_ood acc 0.410, time 20.5 sec
epoch 63, loss 0.0521, train acc 0.988, test_id acc 0.673, test_ood acc 0.441, time 20.4 sec
epoch 64, loss 0.0467, train acc 0.991, test_id acc 0.660, test_ood acc 0.366, time 20.5 sec
epoch 65, loss 0.0750, train acc 0.983, test_id acc 0.580, test_ood acc 0.344, time 20.5 sec
epoch 66, loss 0.0824, train acc 0.978, test_id acc 0.628, test_ood acc 0.459, time 20.4 sec
epoch 67, loss 0.0988, train acc 0.972, test_id acc 0.639, test_ood acc 0.375, time 20.5 sec
epoch 68, loss 0.0882, train acc 0.978, test_id acc 0.615, test_ood acc 0.355, time 20.4 sec
epoch 69, loss 0.0695, train acc 0.985, test_id acc 0.717, test_ood acc 0.441, time 20.4 sec
epoch 70, loss 0.0627, train acc 0.985, test_id acc 0.703, test_ood acc 0.453, time 20.4 sec
epoch 71, loss 0.0856, train acc 0.978, test_id acc 0.575, test_ood acc 0.325, time 20.5 sec
epoch 72, loss 0.1050, train acc 0.971, test_id acc 0.640, test_ood acc 0.350, time 20.5 sec
epoch 73, loss 0.0970, train acc 0.975, test_id acc 0.498, test_ood acc 0.238, time 20.5 sec
epoch 74, loss 0.0940, train acc 0.976, test_id acc 0.648, test_ood acc 0.402, time 20.4 sec
epoch 75, loss 0.0580, train acc 0.988, test_id acc 0.686, test_ood acc 0.475, time 20.5 sec
epoch 76, loss 0.0453, train acc 0.992, test_id acc 0.713, test_ood acc 0.384, time 20.5 sec
epoch 77, loss 0.0309, train acc 0.995, test_id acc 0.584, test_ood acc 0.321, time 20.4 sec
epoch 78, loss 0.0268, train acc 0.997, test_id acc 0.660, test_ood acc 0.525, time 20.5 sec
epoch 79, loss 0.0187, train acc 0.999, test_id acc 0.620, test_ood acc 0.470, time 20.5 sec
epoch 80, loss 0.0344, train acc 0.995, test_id acc 0.686, test_ood acc 0.460, time 20.5 sec
epoch 81, loss 0.2215, train acc 0.925, test_id acc 0.453, test_ood acc 0.243, time 20.5 sec
epoch 82, loss 0.2635, train acc 0.915, test_id acc 0.656, test_ood acc 0.415, time 20.5 sec
epoch 83, loss 0.1040, train acc 0.973, test_id acc 0.706, test_ood acc 0.426, time 20.5 sec
epoch 84, loss 0.0508, train acc 0.989, test_id acc 0.739, test_ood acc 0.516, time 20.6 sec
epoch 85, loss 0.0351, train acc 0.995, test_id acc 0.720, test_ood acc 0.417, time 20.5 sec
epoch 86, loss 0.0242, train acc 0.996, test_id acc 0.727, test_ood acc 0.381, time 20.4 sec
